location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Jahangirpuri, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,7.6,µg/m³,28.73282,77.170633,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,14.3,µg/m³,28.5710274,77.0719006,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Asansol Court Area, Asansol - WBPCB",Asansol,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,1.44,µg/m³,23.685297,86.945968,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Shastri Nagar, Jaipur - RSPCB",Jaipur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,11.53,µg/m³,26.9502929,75.730943,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4.14,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Civil Lines,  Ajmer - RSPCB",Ajmer,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.98,µg/m³,26.470859,74.646594,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,8.15,µg/m³,26.902909,75.836853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,24.43,µg/m³,28.194909,76.862296,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Victoria, Kolkata - WBPCB",Kolkata,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,14.56,µg/m³,22.5448082,88.3403691,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Maninagar, Ahmedabad - GPCB",Ahmedabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,29.27,µg/m³,23.002657,72.591912,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
