location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Solapur, Solapur - MPCB",Solapur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,40.39,µg/m³,17.6599188,75.9063906,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Ghusuri, Howrah - WBPCB",Howrah,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,150,µg/m³,22.611968,88.347422,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,78,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Golden Temple, Amritsar - PPCB",Amritsar,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,76.8,µg/m³,31.62,74.876512,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,86.92,µg/m³,30.649961,76.331442,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,72.2,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,69.99,µg/m³,19.8389439,75.244448,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,72.65,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,36.07,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sirifort, Delhi - CPCB",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,325,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Mandir Marg, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,273,µg/m³,28.636429,77.201067,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Shadipur, Delhi - CPCB",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,289.31,µg/m³,28.6514781,77.1473105,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"DTU, Delhi - CPCB",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,467.65,µg/m³,28.7500499,77.1112615,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Khadakpada, Kalyan - MPCB",Kalyan,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,62.77,µg/m³,19.25292,73.142019,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Borivali East, Mumbai - MPCB",Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,74.38,µg/m³,19.2243333,72.8658113,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
